title,description,content,category,tags,status,views
Customer Success Escalation Process,How customer issues are escalated from support to engineering.,Level 1 support handles common issues using the knowledge base. If unresolved after 2 hours or by Level 1 escalate to Level 2. Level 2 investigates with system access. If a bug is confirmed create a Jira bug ticket with SEV rating. SEV-1 customer-blocking bugs page the on-call engineer. SEV-2 bugs are prioritised in the next sprint. P1 customers get a status update every 2 hours. RCA is shared with the customer within 5 business days of resolution.,Product,"customer-success,escalation,support",published,987
How to Write a Post-Mortem,Template and guidance for documenting incidents and preventing recurrence.,Post-mortems are blameless. Focus on systems and processes not individuals. Required sections: Summary. Timeline of events. Root cause analysis (use the 5 Whys). Impact assessment. Remediation actions with owners and due dates. Action items are tracked in Jira. Post-mortems must be completed within 5 business days. They are reviewed in the weekly engineering meeting. High-severity post-mortems are shared with leadership.,Engineering,"post-mortem,incident,reliability",published,1234
Stock Compensation and Tax Implications,Understanding the tax treatment of RSUs options and ESPP.,RSUs are taxed as ordinary income when they vest. The vested value is included in your W-2. Consult a tax advisor about estimated quarterly tax payments if your RSU income is significant. ISOs have more favourable tax treatment but require careful timing of exercise and sale. NSOs are taxed on exercise as ordinary income. ESPP shares sold within 2 years of the offering date are a disqualifying disposition. Carta provides year-end tax documents by January 31st.,Finance,"stock,tax,equity",published,876
Network Access Control Policy,Who can access the corporate network and under what conditions.,Corporate network access requires an enrolled corporate device or approved BYOD device. Guest network is available for visitors and personal devices. Network zones: Corporate (employees) DMZ (internet-facing services) Production (restricted to ops team) Management (infrastructure team only). VPN access is required for remote work. Network access logs are retained for 12 months. Unauthorised access attempts trigger an automatic security alert.,Security,"network,access-control,policy",published,654
Engineering Hiring Process,How technical interviews are structured for engineering roles.,The engineering hiring process has 4 stages. Stage 1: Recruiter phone screen (30 min). Stage 2: Technical phone screen with an engineer covering fundamentals (45 min). Stage 3: Take-home project or live coding (90 min). Stage 4: Virtual on-site with 4 panels: system design technical depth values and team fit. Scoring rubric is in the interview guide. Make a hiring decision within 48 hours of the on-site. Offer approval requires VP Engineering sign-off for senior roles and above.,HR Policies,"hiring,engineering,recruitment",published,1098
Observability Strategy,Company approach to logs metrics and distributed tracing.,The three pillars of observability are logs metrics and traces. Logs: structured JSON shipped to Elasticsearch. Metrics: Prometheus with Grafana dashboards. Traces: OpenTelemetry with Jaeger backend. All services must emit all three signal types. SLOs are defined for each critical service and tracked in Grafana. Error budgets are reviewed monthly. The platform team owns the observability infrastructure. Instrumentation libraries are provided per language.,Engineering,"observability,monitoring,tracing",published,1432
Onboarding 30-60-90 Day Goals,Framework for setting and tracking new hire goals in the first quarter.,30-day goals focus on learning: understand the team product and codebase. Meet all key stakeholders. Complete required training. 60-day goals focus on contributing: deliver first project. Identify one area for process improvement. Build confidence in tools and workflows. 90-day goals focus on performing: operate independently. Have delivered measurable impact. Align on a development plan with your manager. Review goals at each 1:1 during the first quarter.,Onboarding,"goals,onboarding,new-hire",published,1876
Legal Hold Procedures,How to preserve data and documents when litigation is reasonably anticipated.,When legal hold is triggered by Legal email instructions to the custodians. Custodians must not delete modify or dispose of any relevant data. IT places litigation holds on email accounts and cloud storage. Legal hold supersedes normal data retention schedules. Hold status is tracked in the matter management system. When the hold is lifted Legal sends a release notice. Non-compliance with a legal hold is a serious violation with significant legal consequences.,Legal,"legal-hold,litigation,data-retention",published,432
Service Level Agreements (SLAs),Definitions of service level targets and how they are measured.,Enterprise customers receive a 99.9% monthly uptime SLA. Uptime is calculated as (total minutes - downtime minutes) / total minutes. Scheduled maintenance windows are excluded. SLA credits are issued for breaches: 99.5-99.9%: 10% monthly fee credit. below 99.5%: 25% monthly fee credit. Credits must be requested within 30 days. The status page at status.company.com shows real-time and historical uptime. SLA reports are generated monthly.,Product,"sla,uptime,enterprise",published,765
Bias Interruption Techniques in Hiring,Practical techniques to reduce unconscious bias in the hiring process.,Use structured interviews with identical questions for all candidates. Score candidates independently before the debrief. Use a scorecard to anchor feedback on specific competencies. Avoid referencing irrelevant personal information in debriefs. Require diverse interview panels. Blind resume review is available via the Greenhouse integration. If you notice bias in a debrief speak up respectfully. Track and review demographic data at each funnel stage monthly.,HR Policies,"bias,diversity,hiring",published,987
Cryptography Standards,Approved cryptographic algorithms and key management practices.,Approved algorithms: symmetric encryption AES-256-GCM. Asymmetric RSA-4096 or ECDSA P-256. Hashing SHA-256 or SHA-3. Password hashing bcrypt argon2. Deprecated and prohibited: MD5 SHA-1 DES 3DES RC4. All cryptographic keys are managed in HashiCorp Vault. Key rotation schedule: 90 days for encryption keys. 1 year for signing keys. Document key derivation methods in architecture docs. Never implement custom cryptography.,Security,"cryptography,encryption,security",published,876
Agile Retrospective Guide,How to run effective team retrospectives at the end of each sprint.,Retrospectives are held on the last day of each sprint and last 60 minutes. Use the Start Stop Continue format or a Miro board for variety. Timeboxing: 10 min check-in. 20 min generate insights. 20 min decide on actions. 10 min close. Each retro must produce at least one actionable item with an owner and due date. Previous action items are reviewed first. Rotate the facilitator role each sprint. Retro notes are stored in Confluence.,Engineering,"agile,retrospective,team",published,1234
Ethics Hotline and Reporting,How to report ethical concerns or potential violations anonymously.,The ethics hotline is available 24/7 at 1-800-555-0199 or online at ethics.company.com. Reports can be made anonymously. Topics covered include fraud corruption safety violations and conflicts of interest. All reports are reviewed by the General Counsel. Investigations are conducted impartially. Retaliation against reporters is strictly prohibited. You will receive a confirmation code to check the status of your report. The company is committed to a speak-up culture.,Legal,"ethics,hotline,compliance",published,654
AWS IAM Best Practices,How to manage AWS Identity and Access Management securely.,Follow the principle of least privilege for all IAM policies. Use IAM roles instead of long-lived access keys. Rotate access keys every 90 days. Enable MFA for all human IAM users especially root. Never share IAM credentials. Use AWS Organizations SCPs to enforce guardrails. Review IAM Access Advisor monthly to identify unused permissions. Document all service account roles and their purpose. Use permission boundaries to limit blast radius.,IT Infrastructure,"aws,iam,security",published,1098
Customer Privacy Notice,How we collect use and protect customer personal data.,We collect personal data to provide and improve our services. Data collected includes contact information usage data and payment details. We do not sell personal data to third parties. Data is stored in EU data centres with encryption at rest and in transit. Retention periods are defined in the data retention schedule. Customers have rights to access correct delete and port their data. Submit data subject requests to privacy@company.com. Our full privacy policy is at company.com/privacy.,Legal,"privacy,gdpr,customer",published,1432
Sprint Demo Best Practices,How to run an effective sprint demo for stakeholders.,Sprint demos are held on the last Thursday of each sprint. Invite all stakeholders including product design and leadership. Demo working software not slides. Each team member demos their own work where possible. Use a staging environment for the demo. Prepare a script and rehearse. Capture feedback in Jira stories. Time limit is 60 minutes. Record the demo for stakeholders who cannot attend. Start and end on time.,Engineering,"agile,demo,sprint",published,876
Compliance with Export Control Laws,Company policy on export controls and trade compliance.,Certain technologies software and data are subject to export control laws including EAR and ITAR. Do not export controlled items to sanctioned countries or parties without a license. Check new customer names against the denied parties list in the trade compliance portal. Technology transfers to foreign nationals may require a deemed export licence. Contact Legal before transferring controlled technology internationally. Annual export control training is mandatory for relevant roles.,Legal,"export-control,compliance,legal",published,543
Performance Improvement Plan Process,How PIPs are initiated documented and concluded.,A PIP is initiated when performance consistently falls below expectations after coaching. HR must be involved from the start. The PIP documents specific performance gaps measurable improvement targets a support plan and a 30-60-90 day timeline. Weekly check-ins with HR and manager are required. Successful completion leads to removal from PIP and normal performance management. Unsuccessful completion may result in termination following HR and Legal review. All PIP documentation is retained in the personnel file.,HR Policies,"pip,performance,hr",published,765
Service Mesh Architecture,How Istio service mesh is configured and used in the Kubernetes environment.,Istio is deployed as the service mesh for all Kubernetes workloads. mTLS is enforced for all pod-to-pod communication. Traffic management policies use VirtualService and DestinationRule resources. Circuit breaking is configured with a threshold of 50% error rate over 30 seconds. Canary deployments use traffic splitting in the VirtualService. Observability: Kiali for topology Jaeger for traces Prometheus for metrics. Service mesh configuration is in the istio-config repository.,Engineering,"service-mesh,istio,kubernetes",published,987
Annual Budget Planning Process,How the company plans and approves the annual operating budget.,Budget planning starts in September for the following fiscal year. Department heads submit budget proposals by October 1st. Finance consolidates and models scenarios. Executive review in November finalises the budget. Board approval in December. Budgets are loaded into Adaptive Planning by January 1st. Monthly variance reports compare actual vs budget. Budget amendments above $50000 require CFO approval. Headcount changes require separate approval from HR and the relevant VP.,Finance,"budget,planning,finance",published,654
Pair Programming Guide,When and how to use pair programming effectively.,Pair programming is encouraged for complex features unfamiliar codebases and knowledge transfer. Roles: Driver types the code. Navigator reviews and thinks ahead. Swap roles every 25 minutes using Pomodoro timing. Use VS Code Live Share for remote pairing sessions. Pairing sessions should not exceed 2 hours without a break. Communicate your thinking aloud. Respect your pair's working style. Pair programming counts as a code review so separate PR review may not be required.,Engineering,"pair-programming,collaboration,engineering",published,876
Intellectual Property Assignment,How employee inventions and work products are assigned to the company.,Work products created during employment and within the scope of your role are company property. This includes code designs inventions and written works. Work created entirely on personal time with no company resources may be excluded submit an IP Disclosure form to Legal to clarify. Inventions related to company business created during employment are generally assigned to the company. Review your employment agreement for the specific IP assignment clause. Contact Legal with questions.,Legal,"ip,intellectual-property,legal",published,543
